slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
algorand-metrics-dashboard-mainnet,Algorand,"[""[Dashboard](https://algorand.co/metrics)""]",mainnet,"[""Transactions"",""Network Metrics"",""Active Addresses"",""Block Data"",""Performance Metrics""]",TRUE,"[""Real-time Metrics API"",""Network Status API""]",$0,,Free,FALSE
allo-mainnet,Allo,"[""[Dashboard](https://metrics.allo.info/)""]",mainnet,"[""Transactions"",""Assets"",""Apps"",""Blocks"",""Accounts"",""NFDomains"",""TEAL Contracts""]",TRUE,"[""TEAL Inspector API"",""Account API"",""Asset API""]",$0,,Free,FALSE
coinexams-mainnet,CoinExams,"[""[Dashboard](https://coinexams.com/utility/algorand)""]",mainnet,"[""Crypto Utility Metrics"",""Network Functionality"",""Token Utility Evaluation"",""Fees""]",TRUE,"[""Utility Scores API""]",$0,,Free,FALSE
cryptoquant-mainnet,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,,,,
cryptoslam-mainnet,Cryptoslam,"[""[Dashboard](https://www.cryptoslam.io/blockchains/algorand)""]",mainnet,"[""NFT Sales Data"",""Transaction Volume"",""Number of NFT Owners"",""Upcoming Drops""]",TRUE,"[""NFT Sales Data API""]",$0,,Free,FALSE
dappradar-mainnet,!provider:dappradar,"[""[Dashboard](https://dappradar.com/chain/algorand)""]",mainnet,,,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/Algorand)""]",mainnet,,,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/algorand)""]",mainnet,,,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/token-god-mode?tokenAddress=ALGO&chain=hyperliquid&tab=transactions)""]",mainnet,,,,,,,
pera-mainnet,Pera,"[""[Dashboard](https://explorer.perawallet.app/)""]",mainnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE
pera-testnet,Pera,"[""[Dashboard](https://testnet.explorer.perawallet.app/)""]",testnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE
vestige-mainnet,Vestige,"[""[Dashboard](https://vestige.fi/asset/0)""]",mainnet,"[""Assets"",""Tokens"",""DEX Liquidity Pools"",""Historical Price & Volume""]",TRUE,"[""DeFi Analytics API""]",$0,,Free,FALSE
