slug,provider,actionButtons,toolType,tag,price,description,starred
algorand-sdk,Algorand,"[""[Docs](https://dev.algorand.co/reference/sdk/sdk-list/)""]",SDK,"[""Go"",""Java"",""Python"",""JavaScript"",""TypeScript""]",$0,"Official SDKs like TypeScript, Python, JavaScript, Java and Go are used for building, testing, and debugging applications on Algorand",FALSE
algokit-cli,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/)""]",CLI,"[""Bootstrap"",""Compile"",""Completions"",""Deploy"",""Dispenser"",""Doctor"",""Explore"",""Generate"",""Goal"",""Init"",""LocalNet"",""Project"",""Task""]",$0,"A comprehensive CLI and toolkit for building, testing, deploying, and debugging Algorand apps",FALSE
algokit-utils,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#algokit-utils)""]",Utility Library,"[""Python"",""TypeScript"",""Client management"",""Account management"",""Algo amount handling"",""Transaction management"",""App management"",""App deployment"",""ARC-0032 Application Spec client"",""Algo transfers"",""Automated testing"",""Indexer searching""]",$0,Utility functions in TypeScript and Python to interact with Algorand blockchain easily and safely.,FALSE
algokit-localnet,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#algokit-localnet)""]",Network Simulator,"[""Local sandboxed network"",""Ephemeral environment"",""Docker-based"",""KMD enabled"",""Named LocalNet instances"",""Configuration management"",""Offline usage"",""Developer-focused features""]",$0,Runs a local sandboxed Algorand network for offline development and testing using Docker images.,FALSE
avm-debugger,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#avm-debugger)""]",Smart Contract Debugger,"[""Debug trace files"",""TEAL source map tags"",""Debugging configuration tags""]",$0,VS Code extension to debug Algorand TEAL smart contracts interactively.,FALSE
client-generator,AlgoKit,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#client-generator)""]",Code Generator,"[""Python"",""TypeScript""]",$0,Generates type-safe smart contract clients from ARC-0032 specifications for easy contract interaction,FALSE
mosaia-free,!provider:mosaia-free,,,,,,
mosaia-pay-as-you-go,!provider:mosaia-pay-as-you-go,,,,,,
ziion-linux-distro,!provider:ziion-linux-distro,,,,,,
tatum-sdk-free,!provider:tatum-sdk-free,,,,,,
tatum-sdk-pay-as-you-go,!provider:tatum-sdk-pay-as-you-go,,,,,,
tatum-sdk-enterprise,!provider:tatum-sdk-enterprise,,,,,,
ipfs,!provider:ipfs,,,,,,
portal-free,!provider:portal-free,,,,,,
portal-pay-as-you-go,!provider:portal-pay-as-you-go,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,
privy,!provider:privy,,,,,,
