slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
blockdaemon-mainnet-free,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-dedicated,!provider:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-archive,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-pay-as-you-go-archive,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-dedicated-archive,!provider:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-free,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated,!provider:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-free-archive,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Full Archive,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-pay-as-you-go-archive,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Full Archive,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated-archive,!provider:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Full Archive,testnet,,,,,,,,,,,,,,,,
chain-love-free,!provider:chain-love-free,"[""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/algorand)""]",,,mainnet,,,,,,,,,,,,"[""10 req/min without authenthication"",""10M Credits with authenthication""]",,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/nodes/algo/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
