slug,provider,actionButtons,plan,nodeType,chain,address,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions
1rpc-mainnet-public-recent-state,!provider:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/ecosystem/aptos)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-mainnet-free-recent-state,!provider:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/ecosystem/aptos)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-mainnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-mainnet-enterprise-recent-state,!provider:1rpc-enterprise-recent-state,"[""[Contact](https://discord.com/invite/automata)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-mainnet-free-recent-state,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/aptos)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-testnet-free-recent-state,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/aptos-testnet)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-testnet-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-mainnet-free-full-archive,!provider:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/rpc/aptos)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-full-archive,!provider:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise-full-archive,!provider:alchemy-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-testnet-free-full-archive,!provider:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/rpc/aptos-testnet)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go-full-archive,!provider:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-testnet-enterprise-full-archive,!provider:alchemy-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,testnet,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-recent-state,!provider:allthatnode-free-recent-state,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,mainnet,,,,,,,,,,,,,,,,
allthatnode-mainnet-pay-as-you-go-recent-state,!provider:allthatnode-pay-as-you-go-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,mainnet,,,,,,,,,,,,,,,,
allthatnode-mainnet-enterprise-recent-state,!provider:allthatnode-enterprise-recent-state,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,mainnet,,,,,,,,,,,,,,,,
allthatnode-tesnet-free-recent-state,!provider:allthatnode-free-recent-state,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,testnet,,,,,,,,,,,,,,,,
allthatnode-tesnet-pay-as-you-go-recent-state,!provider:allthatnode-pay-as-you-go-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,testnet,,,,,,,,,,,,,,,,
