slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,starred
dune-one,!provider:dune,"[""[Dashboard](https://dune.com/datawarlock/arbitrum-economics)""]",one,,,,,
dune-nova,!provider:dune,"[""[Dashboard](https://dune.com/arbitrum/arbitrum-nova)""]",nova,,,,,
messari-one,!provider:messari,"[""[Dashboard](https://messari.io/project/arbitrum)""]",one,,,,,
statuspage,!provider:statuspage,"[""[Dashboard](https://status.arbitrum.io/)""]",one,,,,,
arkham,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/arbitrum)""]",one,,,,,
nansen,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/blockchains?chain=arbitrum&tab=overview)""]",one,,,,,
glassnode,!provider:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ARB)""]",one,,,,,
defillama-one,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/arbitrum)""]",one,,,,,
defillama-nova,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/arbitrum-nova)""]",nova,,,,,
cryptoquant,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/arb/summary)""]",one,,,,,
dappradar,!provider:dappradar,"[""[Dashboard](https://dappradar.com/chain/arbitrum)""]",one,,,,,
blockworks,!provider:blockworks,"[""[Dashboard](https://blockworks.com/analytics/arbitrum)""]",one,,,,,
l2beat-one,!provider:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/arbitrum)""]",one,,,,,
l2beat-nova,!provider:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/nova)""]",nova,,,,,
tokenterminal-one,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/arbitrum)""]",one,,,,,
tokenterminal-nova,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/arbitrum-nova)""]",nova,,,,,
growthepie-one,!provider:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum)""]",one,,,,,
growthepie-nova,!provider:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum-nova)""]",nova,,,,,
dexscreener,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/arbitrum)""]",one,,,,,
