slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/arbitrum)""]",one,,,,,,,
blockworks,!provider:blockworks,"[""[Dashboard](https://blockworks.com/analytics/arbitrum)""]",one,,,,,,,
cryptoquant,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/arb/summary)""]",one,,,,,,,
dappradar,!provider:dappradar,"[""[Dashboard](https://dappradar.com/chain/arbitrum)""]",one,,,,,,,
defillama-nova,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/arbitrum-nova)""]",nova,,,,,,,
defillama-one,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/arbitrum)""]",one,,,,,,,
dexscreener,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/arbitrum)""]",one,,,,,,,
dune-nova,!provider:dune,"[""[Dashboard](https://dune.com/arbitrum/arbitrum-nova)""]",nova,,,,,,,
dune-one,!provider:dune,"[""[Dashboard](https://dune.com/datawarlock/arbitrum-economics)""]",one,,,,,,,
glassnode,!provider:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ARB)""]",one,,,,,,,
growthepie-nova,!provider:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum-nova)""]",nova,,,,,,,
growthepie-one,!provider:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum)""]",one,,,,,,,
l2beat-nova,!provider:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/nova)""]",nova,,,,,,,
l2beat-one,!provider:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/arbitrum)""]",one,,,,,,,
messari-one,!provider:messari,"[""[Dashboard](https://messari.io/project/arbitrum)""]",one,,,,,,,
nansen,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=arbitrum&tab=overview)""]",one,,,,,,,
statuspage,!provider:statuspage,"[""[Dashboard](https://status.arbitrum.io/)""]",one,,,,,,,
tokenterminal-nova,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/arbitrum-nova)""]",nova,,,,,,,
tokenterminal-one,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/arbitrum)""]",one,,,,,,,
