slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
across-nova,!provider:across,,nova,,,,,,,,,,,,,,,,,
across-one,!provider:across,,one,,,,,,,,,,,,,,,,,
altitude-one,!provider:altitude,,one,,,,,,,,,,,,,,,,,
arbitrum-nova,!provider:arbitrum-native,,nova,,,,,,TRUE,,,,,,,,,,,
arbitrum-one,!provider:arbitrum-native,,one,,,,,,TRUE,,,,,,,,,,,
arbitrum-sepolia,!provider:arbitrum-native,,sepolia,,,,,,TRUE,,,,,,,,,,,
asterizm-one,!provider:asterizm,,one,,,,,,,,,,,,,,,,,
chainport-one,!provider:chainport,,one,,,,,,,,,,,,,,,,,
chainspot-one,!provider:chainspot,,one,,,,,,,,,,,,,,,,,
connext-nova,!provider:connext,,nova,,,,,,,,,,,,,,,,,
connext-one,!provider:connext,,one,,,,,,,,,,,,,,,,,
connext-sepolia,!provider:connext,,sepolia,,,,,,,,,,,,,,,,,
crosscurve-one,!provider:crosscurve,,one,,,,,,,,,,,,,,,,,
debridge-nova,!provider:debridge,,nova,,,,,,,,,,,,,,,,,
debridge-one,!provider:debridge,,one,,,,,,,,,,,,,,,,,
ecoportal-one,!provider:ecoportal,,one,,,,,,,,,,,,,,,,,
garden-one,!provider:garden,,one,,,,,,,,,,,,,,,,,
hashport-nova,!provider:hashport,,nova,,,,,,,,,,,,,,,,,
hashport-one,!provider:hashport,,one,,,,,,,,,,,,,,,,,
hyperlane-one,!provider:hyperlane,,one,,,,,,,,,,,,,,,,,
jumper-one,!provider:jumper,,one,,,,,,,,,,,,,,,,,
layerswap-nova,!provider:layerswap,,nova,,,,,,,,,,,,,,,,,
layerswap-one,!provider:layerswap,,one,,,,,,,,,,,,,,,,,
layerzero-nova,!provider:layerzero,"[""[Bridge](https://docs.layerzero.network/v2/deployments/evm-chains/nova-mainnet-oft-quickstart)""]",nova,,,,,,,,,,,,,,,,,
layerzero-one,!provider:layerzero,"[""[Bridge](https://docs.layerzero.network/v2/deployments/chains/arbitrum)""]",one,,,,,,,,,,,,,,,,,
messina-one,!provider:messina,,one,,,,,,,,,,,,,,,,,
orbiter-nova,!provider:orbiter,,nova,,,,,,,,,,,,,,,,,
orbiter-one,!provider:orbiter,,one,,,,,,,,,,,,,,,,,
owlto-nova,!provider:owlto,,nova,,,,,,,,,,,,,,,,,
owlto-one,!provider:owlto,,one,,,,,,,,,,,,,,,,,
relay-nova,!provider:relay,,nova,,,,,,,,,,,,,,,,,
relay-one,!provider:relay,,one,,,,,,,,,,,,,,,,,
routerprotocol-one,!provider:routerprotocol,,one,,,,,,,,,,,,,,,,,
rubic-nova,!provider:rubic,,nova,,,,,,,,,,,,,,,,,
rubic-one,!provider:rubic,,one,,,,,,,,,,,,,,,,,
squid-nova,!provider:squid,,nova,,,,,,,,,,,,,,,,,
squid-one,!provider:squid,,one,,,,,,,,,,,,,,,,,
stargate-one,!provider:stargate,,one,,,,,,,,,,,,,,,,,
superbridge-nova,!provider:superbridge,,nova,,,,,,,,,,,,,,,,,
superbridge-one,!provider:superbridge,,one,,,,,,,,,,,,,,,,,
superbridge-sepolia,!provider:superbridge,,sepolia,,,,,,,,,,,,,,,,,
symbiosis-nova,!provider:symbiosis,,nova,,,,,,,,,,,,,,,,,
symbiosis-one,!provider:symbiosis,,one,,,,,,,,,,,,,,,,,
umbria-one,!provider:umbria,,one,,,,,,,,,,,,,,,,,
utexo-mainnet,!provider:utexo,,mainnet,,,,,,,,,,,,,,,,,
valuerouter-one,!provider:valuerouter,,one,,,,,,,,,,,,,,,,,
wanchain-one,!provider:wanchain,,one,,,,,,,,,,,,,,,,,
xyfinance-one,!provider:xyfinance,,one,,,,,,,,,,,,,,,,,
zkbridge-nova,!provider:zkbridge,,nova,,,,,,,,,,,,,,,,,
zkbridge-one,!provider:zkbridge,,one,,,,,,,,,,,,,,,,,
