slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
1rpc-astar-enterprise,!provider:1rpc-enterprise-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
1rpc-astar-free,!provider:1rpc-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
1rpc-astar-pay-as-you-go,!provider:1rpc-pay-as-you-go-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
1rpc-astar-public-recent-state,!provider:1rpc-public-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-enterprise-indexer,!provider:alchemy-enterprise-indexer,"[""[Contact](https://www.alchemy.com/contact-sales-platinum)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-free-indexer,!provider:alchemy-free-indexer,"[""[Website](https://www.alchemy.com/astar)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-free-recent-state,!provider:alchemy-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-pay-as-you-go-indexer,!provider:alchemy-pay-as-you-go-indexer,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
allthatnode-astar-enterprise-archive,!provider:allthatnode-enterprise-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,
allthatnode-astar-free-archive,!provider:allthatnode-free-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,
allthatnode-astar-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,
astar-free,!provider:astar-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
astar-shibuya-free,!provider:astar-free-recent-state,,,,,,,shibuya,,,,,,,,,,,,,,,,,,
astar-shiden-free,!provider:astar-free-recent-state,,,,,,,shiden,,,,,,,,,,,,,,,,,,
blockdaemon-astar-dedicated,!provider:blockdaemon-enterprise-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
blockdaemon-shibuya-dedicated,!provider:blockdaemon-enterprise-recent-state,,,,,,,shibuya,,,,,,,,,,,,,,,,,,
blockdaemon-shiden-dedicated,!provider:blockdaemon-enterprise-recent-state,,,,,,,shiden,,,,,,,,,,,,,,,,,,
chain-love-astar-free-indexer,!provider:chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
chain-love-shibuya-free-indexer,!provider:chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,,shibuya,,,,,,,,,,,,,,,,,,
chain-love-shiden-free-indexer,!provider:chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,,shiden,,,,,,,,,,,,,,,,,,
chainstack-astar-enterprise-indexer,!provider:chainstack-enterprise-indexer,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
chainstack-astar-free-indexer,!provider:chainstack-free-indexer,"[""[Website](https://chainstack.com/protocols/astar/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
chainstack-astar-pay-as-you-go-indexer,!provider:chainstack-pay-as-you-go-indexer,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
dipdup-astar-enterprise-indexer,!provider:dipdup-enterprise-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
dipdup-astar-free-indexer,!provider:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,
dipdup-shibuya-enterprise-indexer,!provider:dipdup-enterprise-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,,shibuya,,,,,,,,,,,,,,,,,,
dipdup-shibuya-free-indexer,!provider:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,,shibuya,,,,,,,,,,,,,,,,,,
dwellir-astar-dedicated,!provider:dwellir-dedicated-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,
dwellir-astar-dedicated-archive,!provider:dwellir-dedicated-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,
dwellir-astar-free-archive,!provider:dwellir-free-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,
