slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
alchemy-astar-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/astar)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",astar,,,,,,,,,,,,,,,,,,,,
alchemy-astar-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",astar,,,,,,,,,,,,,,,,,,,,
alchemy-astar-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://www.alchemy.com/contact-sales-platinum)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",astar,,,,,,,,,,,,,,,,,,,,
chain-love-astar-free,!provider:chain-love-free,"[""[Deploy](https://astar.chain.love/graph)""]",astar,,,,,,,,,,,,,,,,,,,,
chain-love-shibuya-free,!provider:chain-love-free,"[""[Deploy](https://astar.chain.love/graph)""]",shibuya,,,,,,,,,,,,,,,,,,,,
chain-love-shiden-free,!provider:chain-love-free,"[""[Deploy](https://astar.chain.love/graph)""]",shiden,,,,,,,,,,,,,,,,,,,,
chainstack-astar-free,!provider:chainstack-free,"[""[Website](https://chainstack.com/protocols/astar/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",astar,,,,,,,,,,,,,,,,,,,,
chainstack-astar-pay-as-you-go,!provider:chainstack-pay-as-you-go,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",astar,,,,,,,,,,,,,,,,,,,,
chainstack-astar-enterprise,!provider:chainstack-enterprise,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",astar,,,,,,,,,,,,,,,,,,,,
dipdup-astar-free,!provider:dipdup-free,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",astar,,,,,,,,,,,,,,,,,,,,
dipdup-astar-enterprise,!provider:dipdup-enterprise,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",astar,,,,,,,,,,,,,,,,,,,,
dipdup-shibuya-free,!provider:dipdup-free,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",shibuya,,,,,,,,,,,,,,,,,,,,
dipdup-shibuya-enterprise,!provider:dipdup-enterprise,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",shibuya,,,,,,,,,,,,,,,,,,,,
envio-astar-free,!provider:envio-free,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkevm)""]",astar,,,,,,,,,,,,,,,,,,,,
envio-astar-pay-as-you-go,!provider:envio-pay-as-you-go,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkyoto)""]",astar,,,,,,,,,,,,,,,,,,,,
envio-astar-dedicated,!provider:envio-dedicated,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkevm)""]",astar,,,,,,,,,,,,,,,,,,,,
goldrush-astar-free,!provider:goldrush-free,"[""[Website](https://goldrush.dev/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",astar,,,,,,,,,,,,,,,,,,,,
goldrush-astar-pay-as-you-go,!provider:goldrush-pay-as-you-go,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",astar,,,,,,,,,,,,,,,,,,,,
