slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
metamask,!provider:metamask,,,,,,,,,,,,,,,,,,
bifrost,!provider:bifrost,,,,,,,,,,,,,,,,,,
ledger,!provider:ledger,,,,,,,,,,,,,,,,,,
solidifi,!provider:solidifi,,,,,,,,,,,,,,,,,,
oxenflow,!provider:oxenflow,,,,,,,,,,,,,,,,,,
safepal,!provider:safepal,,,,,,,,,,,,,,,,,,
tokenpocket,!provider:tokenpocket,,,,,,,,,,,,,,,,,,
coolwallet,!provider:coolwallet,,,,,,,,,,,,,,,,,,
dcent,!provider:dcent,,,,,,,,,,,,,,,,,,
rabby,!provider:rabby,,,,,,,,,,,,,,,,,,
trustwallet,!provider:trustwallet,,,,,,,,,,,,,,,,,,
zerion,!provider:zerion,,,,,,,,,,,,,,,,,,
phantom,!provider:phantom,,,,,,,,,,,,,,,,,,
novawallet,!provider:novawallet,,,,,,,,,,,,,,,,,,
subwallet,!provider:subwallet,,,,,,,,,,,,,,,,,,
talisman,!provider:talisman,,,,,,,,,,,,,,,,,,
fearless,!provider:fearless,,,,,,,,,,,,,,,,,,
polkawallet,!provider:polkawallet,,,,,,,,,,,,,,,,,,
kraken-wallet,!provider:kraken-wallet,,,,,,,,,,,,,,,,,,
backpack,!provider:backpack,,,,,,,,,,,,,,,,,,
stackup,!provider:stackup,,,,,,,,,,,,,,,,,,
clear-evm-wallet,!provider:clear-evm-wallet,,,,,,,,,,,,,,,,,,
dapp-pocket,!provider:dapp-pocket,,,,,,,,,,,,,,,,,,
ronin-wallet,!provider:ronin-wallet,,,,,,,,,,,,,,,,,,
kryptogo-wallet,!provider:kryptogo-wallet,,,,,,,,,,,,,,,,,,
sender,!provider:sender,,,,,,,,,,,,,,,,,,
kuma-wallet,!provider:kuma-wallet,,,,,,,,,,,,,,,,,,
ultimate,!provider:ultimate,,,,,,,,,,,,,,,,,,
gem-wallet,!provider:gem-wallet,,,,,,,,,,,,,,,,,,
saakuru-wallet,!provider:saakuru-wallet,,,,,,,,,,,,,,,,,,
nufi-wallet,!provider:nufi-wallet,,,,,,,,,,,,,,,,,,
coin-wallet,!provider:coin-wallet,,,,,,,,,,,,,,,,,,
clave-wallet,!provider:clave-wallet,,,,,,,,,,,,,,,,,,
walletverse,!provider:walletverse,,,,,,,,,,,,,,,,,,
coinomi-wallet,!provider:coinomi-wallet,,,,,,,,,,,,,,,,,,
math-wallet,!provider:math-wallet,,,,,,,,,,,,,,,,,,
