slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
across-mainnet,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
across-testnet,!provider:across,,testnet,,,,,,,,,,,,,,,,,
axelar-mainnet,!provider:axelar,,mainnet,,,,,,,,,,,,,,,,,
celer-mainnet,!provider:celer,,mainnet,,,,,,,,,,,,,,,,,
chainlink-bridge-mainnet,!provider:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,
chainlink-bridge-testnet,!provider:chainlink-bridge,,testnet,,,,,,,,,,,,,,,,,
chainport-mainnet,!provider:chainport,,mainnet,,,,,,,,,,,,,,,,,
crosscurve-mainnet,!provider:crosscurve,,mainnet,,,,,,,,,,,,,,,,,
ecoportal-mainnet,!provider:ecoportal,,mainnet,,,,,,,,,,,,,,,,,
garden-mainnet,!provider:garden,,mainnet,,,,,,,,,,,,,,,,,
garden-testnet,!provider:garden,,testnet,,,,,,,,,,,,,,,,,
hop-mainnet,!provider:hop,,mainnet,,,,,,,,,,,,,,,,,
hop-testnet,!provider:hop,,testnet,,,,,,,,,,,,,,,,,
hyperlane-mainnet,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
hyperlane-testnet,!provider:hyperlane,,testnet,,,,,,,,,,,,,,,,,
messina-mainnet,!provider:messina,,mainnet,,,,,,,,,,,,,,,,,
orbiter-mainnet,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
orbiter-testnet,!provider:orbiter,,testnet,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,!provider:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,!provider:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,
stargate-mainnet,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
superbridge-mainnet,!provider:superbridge,,mainnet,,,,,,,,,,,,,,,,,
superbridge-testnet,!provider:superbridge,,testnet,,,,,,,,,,,,,,,,,
symbiosis-mainnet,!provider:symbiosis,,mainnet,,,,,,,,,,,,,,,,,
synapse-mainnet,!provider:synapse,,mainnet,,,,,,,,,,,,,,,,,
universalx-mainnet,!provider:universalx,,mainnet,,,,,,,,,,,,,,,,,
valuerouter-mainnet,!provider:valuerouter,,mainnet,,,,,,,,,,,,,,,,,
veda-mainnet,!provider:veda,,mainnet,,,,,,,,,,,,,,,,,
wormhole-mainnet,!provider:wormhole,,mainnet,,,,,,,,,,,,,,,,,
wormhole-testnet,!provider:wormhole,,testnet,,,,,,,,,,,,,,,,,
