slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
alchemy-mainnet-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/rpc/base)"",""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://auth.alchemy.com/?redirectUrl=https%3A%2F%2Fdashboard.alchemy.com%2Fsignup%2F%3Fa%3Dpricing%26appRedir%3D1)"",""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-testnet-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/rpc/base-sepolia)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",testnet,,,,,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",testnet,,,,,,,,,,,,,,,,,,,,
alchemy-testnet-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://auth.alchemy.com/?redirectUrl=https%3A%2F%2Fdashboard.alchemy.com%2Fsignup%2F%3Fa%3Dpricing%26appRedir%3D1)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",testnet,,,,,,,,,,,,,,,,,,,,
chain-love-mainnet-free,!provider:chain-love-free,"[""[Website](https://base.chain.love/graph/15)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-free,!provider:chainstack-free,"[""[Website](https://chainstack.com/build-better-with-base/)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pay-as-you-go,!provider:chainstack-pay-as-you-go,"[""[Buy](https://chainstack.com/pricing/#subgraph)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-enterprise,!provider:chainstack-enterprise,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-testnet-free,!provider:chainstack-free,"[""[Website](https://chainstack.com/build-better-with-base/)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",testnet,,,,,,,,,,,,,,,,,,,,
chainstack-testnet-pay-as-you-go,!provider:chainstack-pay-as-you-go,"[""[Buy](https://chainstack.com/pricing/#subgraph)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",testnet,,,,,,,,,,,,,,,,,,,,
chainstack-testnet-enterprise,!provider:chainstack-enterprise,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",testnet,,,,,,,,,,,,,,,,,,,,
dipdup-mainnet-free,!provider:dipdup-free,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
dipdup-mainnet-enterprise,!provider:dipdup-enterprise,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
dipdup-testnet-free,!provider:dipdup-free,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/base#base-sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
dipdup-testnet-enterprise,!provider:dipdup-enterprise,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/base#base-sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-free,!provider:envio-free,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go,!provider:envio-pay-as-you-go,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-dedicated,!provider:envio-dedicated,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
envio-testnet-free,!provider:envio-free,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base-sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
envio-testnet-pay-as-you-go,!provider:envio-pay-as-you-go,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base-sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
envio-testnet-dedicated,!provider:envio-dedicated,"[""[Buy](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base-sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
ghostgraph-mainnet-free,!provider:ghostgraph-free,"[""[Docs](https://docs.tryghost.xyz/ghostgraph/overview)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ghostgraph-mainnet-pay-as-you-go,!provider:ghostgraph-pay-as-you-go,"[""[Buy](https://app.ghostlogs.xyz)"",""[Docs](https://docs.tryghost.xyz/ghostgraph/overview)""]",mainnet,,,,,,,,,,,,,,,,,,,,
