slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
api3-mainnet,!provider:api3,"[""[Docs](https://docs.api3.org/)""]",mainnet,,,,,,,,,,,
api3-testnet,!provider:api3,"[""[Docs](https://docs.api3.org/)""]",testnet,,,,,,,,,,,
chainlink-mainnet,!provider:chainlink,"[""[ETH/USD](https://data.chain.link/feeds/base/base/eth-usd)"", ""[Docs](https://docs.chain.link/)""]",mainnet,,,,,,,,,,,
chainlink-testnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/)""]",testnet,,,,,,,,,,,
chronicle-mainnet,!provider:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#blockchain=BASE)""]",mainnet,,,,,,,,,,,
chronicle-testnet,!provider:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&blockchain=BASESEP)""]",testnet,,,,,,,,,,,
dia-mainnet,!provider:dia,"[""[Docs](https://www.diadata.org/docs/home)""]",mainnet,,,,,,,,,,,
dia-testnet,!provider:dia,"[""[Docs](https://www.diadata.org/docs/home)""]",testnet,,,,,,,,,,,
gelato-mainnet,!provider:gelato,"[""[Docs](https://docs.gelato.cloud/)""]",mainnet,,,,,,,,,,,
gelato-testnet,!provider:gelato,"[""[Docs](https://docs.gelato.cloud/)""]",testnet,,,,,,,,,,,
ora-mainnet,!provider:ora,"[""[Docs](https://docs.ora.io/doc/onchain-ai-oracle-oao/onchain-ai-oracle)""]",mainnet,,,,,,,,,,,
orochi-mainnet,!provider:orochi,"[""[Docs](https://docs.orochi.network/)""]",mainnet,,,,,,,,,,,
orochi-testnet,!provider:orochi,"[""[Docs](https://docs.orochi.network/)""]",testnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[Docs](https://docs.base.org/base-chain/tools/oracles#pyth)""]",mainnet,,,,,,,,,,,
pyth-testnet,!provider:pyth,"[""[Docs](https://docs.base.org/base-chain/tools/oracles#pyth)""]",testnet,,,,,,,,,,,
redstone-mainnet,!provider:redstone,"[""[Docs](https://docs.redstone.finance/)""]",mainnet,,,,,,,,,,,
supra-mainnet,!provider:supra,"[""[Docs](https://docs.supra.com/)""]",mainnet,,,,,,,,,,,
supra-testnet,!provider:supra,"[""[Docs](https://docs.supra.com/)""]",testnet,,,,,,,,,,,
