slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,starred,trial,address
0xrpc-mainnet-free-recent-state,0xrpc,"[""[Docs](https://0xrpc.github.io/)""]",Free,Recent-State,mainnet,$0,$0,,,,,,,,,,,,FALSE,FALSE,
1rpc-mainnet-public-recent-state,!provider:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-mainnet-free-recent-state,!provider:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-mainnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-testnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-free-recent-state-mainnet,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/base)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-mainnet,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-enterprise-recent-state-mainnet,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-free-recent-state-testnet,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/base-sepolia)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-testnet,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-enterprise-recent-state-testnet,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,testnet,,,,,,,,,,,,,,,,
base-rpc-free-recent-state-mainnet,Base,"[""[Website](https://www.base.org/)""]",Free,Recent-State,mainnet,$0,$0,NULL,NULL,NULL,,,,"[""NFT API"",""Token API"",""Wallet API"",""Blockchain API"",""Streams API""]","[""Rate-limited""]","[""Advanced monitoring"",""Decentralization"",""Hardened infrastructure measures""]","[""Real-time monitoring"",""Slack"",""Telegram"",""Email""]","[""Global""]",FALSE,FALSE,
base-rpc-free-recent-state-testnet,Base,"[""[Website](https://www.base.org/)""]",Free,Recent-State,testnet,$0,$0,NULL,NULL,NULL,,,,"[""NFT API"",""Token API"",""Wallet API"",""Blockchain API"",""Streams API""]","[""Rate-limited""]","[""Advanced monitoring"",""Decentralization"",""Hardened infrastructure measures""]","[""Real-time monitoring"",""Slack"",""Telegram"",""Email""]","[""Global""]",FALSE,FALSE,
