slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
quicknode-mainnet-build-recent-state,!provider:quicknode-build-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-recent-state,!provider:quicknode-accelerate-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,!provider:quicknode-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-recent-state,!provider:quicknode-business-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise-recent-state,!provider:quicknode-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-full-archive,!provider:quicknode-build-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-full-archive,!provider:quicknode-accelerate-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-full-archive,!provider:quicknode-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-full-archive,!provider:quicknode-business-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise-full-archive,!provider:quicknode-enterprise-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-build-recent-state,!provider:quicknode-build-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-accelerate-recent-state,!provider:quicknode-accelerate-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-scale-recent-state,!provider:quicknode-scale-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-business-recent-state,!provider:quicknode-business-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-enterprise-recent-state,!provider:quicknode-enterprise-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-build-full-archive,!provider:quicknode-build-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-accelerate-full-archive,!provider:quicknode-accelerate-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-scale-full-archive,!provider:quicknode-scale-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-business-full-archive,!provider:quicknode-business-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-testnet-enterprise-full-archive,!provider:quicknode-enterprise-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-free-full-archive,!provider:moralis-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-starter-full-archive,!provider:moralis-starter-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-pro-full-archive,!provider:moralis-pro-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-business-full-archive,!provider:moralis-business-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-enterprise-full-archive,!provider:moralis-enterprise-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-testnet-free-full-archive,!provider:moralis-free-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-starter-full-archive,!provider:moralis-starter-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-pro-full-archive,!provider:moralis-pro-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-business-full-archive,!provider:moralis-business-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-enterprise-full-archive,!provider:moralis-enterprise-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-free,!provider:moralis-indexer-free,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-starter,!provider:moralis-indexer-starter,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-pro,!provider:moralis-indexer-pro,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-business,!provider:moralis-indexer-business,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-enterprise,!provider:moralis-indexer-enterprise,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-free,!provider:moralis-indexer-free,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-starter,!provider:moralis-indexer-starter,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-pro,!provider:moralis-indexer-pro,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-business,!provider:moralis-indexer-business,,,,,,,testnet,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-enterprise,!provider:moralis-indexer-enterprise,,,,,,,testnet,,,,,,,,,,,,,,,,,,
node-real-mainnet-free-full-archive,!provider:node-real-free-full-archive,"[""[Website](https://nodereal.io/api-marketplace/bsc-rpc)"",""[Docs](https://docs.nodereal.io/reference/eth-accounts-bnb-chainl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
node-real-mainnet-growth-full-archive,!provider:node-real-growth-full-archive,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/reference/eth-accounts-bnb-chainl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
node-real-mainnet-team-full-archive,!provider:node-real-team-full-archive,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/reference/eth-accounts-bnb-chainl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
node-real-mainnet-business-full-archive,!provider:node-real-business-full-archive,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/reference/eth-accounts-bnb-chainl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
