slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
daedalus,Daedalus Mainnet,"[""[Website](https://daedaluswallet.io/)""]",TRUE,"[""Desktop""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""helpdesk""]","[""IOG Internal"",""Third Party""]","[""EN"",""JA""]",FALSE
yoroi,Yoroi,"[""[Website](https://yoroi-wallet.com/)""]",TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""helpdesk"",""email""]","[""Emurgo"",""Kudelski Security""]","[""EN"",""JA"",""KO"",""ZH"",""RU"",""DE"",""FR""]",FALSE
lace,Lace,,FALSE,"[""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens"",""NFTs""]",TRUE,$0,"[""helpdesk"",""discord""]","[""FYEO""]","[""EN""]",TRUE
nami,Nami,"[""[Website](https://namiwallet.io/)""]",TRUE,"[""Browser Extension""]",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens"",""NFTs""]",TRUE,$0,"[""twitter"",""email""]","[""IOG Internal""]","[""EN""]",FALSE
eternl,Eternl,"[""[Website](https://eternl.io/)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""twitter""]","[""Community Vetted""]","[""EN""]",TRUE
vespr,Vespr,"[""[Website](https://vespr.xyz/)"",""[Twitter](https://twitter.com/vesprwallet)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""twitter""]",,"[""EN""]",FALSE
typhon,Typhon Wallet,"[""[Website](https://typhonwallet.io/)""]",TRUE,"[""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""github""]",,"[""EN""]",FALSE
gerowallet,GeroWallet,"[""[Website](https://gerowallet.io/)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""telegram""]","[""Hacken""]","[""EN""]",FALSE
exodus,!provider:exodus,,,,,,,,,,,,,,,,,,
guarda,!provider:guarda,,,,,,,,,,,,,,,,,,
atomic-wallet,!provider:atomic-wallet,,,,,,,,,,,,,,,,,,
trustwallet,!provider:trustwallet,,,,,,,,,,,,,,,,,,
safepal,!provider:safepal,,,,,,,,,,,,,,,,,,
tangem,!provider:tangem,,,,,,,,,,,,,,,,,,
ledger,!provider:ledger,,,,,,,,,,,,,,,,,,
trezor,!provider:trezor,,,,,,,,,,,,,,,,,,
coin-wallet,!provider:coin-wallet,,,,,,,,,,,,,,,,,,
math-wallet,!provider:math-wallet,,,,,,,,,,,,,,,,,,
