slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod
alchemy-sepolia,!provider:alchemy-faucet,"[""[Docs](https://www.alchemy.com/faucets/ethereum-sepolia)""]",sepolia,,,,,,,0.1,72
automata-hoodi,!provider:automata-faucet,"[""[Docs](https://www.hoodifaucet.io)""]",hoodi,,,,,,,0.01,0.1
chainlink-sepolia,!provider:chainlink-faucet,"[""[Faucet](https://faucets.chain.link/sepolia)"",""[Docs](https://blog.chain.link/sepolia-eth/)""]",sepolia,,,,,,,0.5,24
chainstack-hoodi,!provider:chainstack-faucet,"[""[Docs](https://faucet.chainstack.com/hoodi-testnet-faucet)""]",hoodi,,,,,,,0.5,24
chainstack-sepolia,!provider:chainstack-faucet,"[""[Docs](https://faucet.chainstack.com/sepolia-testnet-faucet)""]",sepolia,,,,,,,0.5,24
getblock-sepolia,!provider:getblock-faucet,"[""[Open](https://getblock.io/faucet/)"",""[Docs](https://getblock.io/blog/free-eth-faucets-testnet-at-getblock/)""]",sepolia,,,,,,,0.1,24
ghost-hoodi,!provider:ghost-faucet,"[""[Docs](https://ghostchain.io/faucet/ethereum-hoodi/)""]",hoodi,,,,,,,0.01,24
ghost-sepolia,!provider:ghost-faucet,"[""[Docs](https://ghostchain.io/faucet/ethereum-sepolia/)""]",sepolia,,,,,,,0.01,24
google-cloud-sepolia,!provider:google-cloud-faucet,"[""[Docs](https://cloud.google.com/application/web3/faucet/ethereum/sepolia)""]",sepolia,,,,,,,0.05,24
infura-sepolia,!provider:infura-faucet,"[""[Docs](https://www.infura.io/faucet)""]",sepolia,,,,,,,0.5,24
pk910-hoodi,!provider:pk910-faucet,"[""[Docs](https://hoodi-faucet.pk910.de)""]",hoodi,,,,,,,0.05,NULL
pk910-sepolia,!provider:pk910-faucet,"[""[Docs](https://sepolia-faucet.pk910.de)""]",sepolia,,,,,,,0.05,NULL
quicknode-hoodi,!provider:quicknode-faucet,"[""[Docs](https://faucet.quicknode.com/drip)""]",hoodi,,,,,,,1,6
quicknode-sepolia,!provider:quicknode-faucet,"[""[Docs](https://faucet.quicknode.com/drip)""]",sepolia,,,,,,,0.2,12
rockx-sepolia,!provider:rockx-faucet,"[""[Docs](https://access.rockx.com/faucet-sepolia)""]",sepolia,,,,,,,0,24
stakely-hoodi,!provider:stakely-faucet,"[""[Docs](https://stakely.io/faucet/ethereum-hoodi-testnet-eth)""]",hoodi,,,,,,,1,24
tatum-hoodi,!provider:tatum-faucet,"[""[Docs](https://tatum.io/faucets/hoodi)""]",hoodi,,,,,,,0.002,24
tatum-sepolia,!provider:tatum-faucet,"[""[Docs](https://tatum.io/faucets/sepolia)""]",sepolia,,,,,,,0.002,24
