slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
alchemy-mainnet-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/rpc/ethereum)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-sepolia-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/rpc/ethereum-sepolia)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",sepolia,,,,,,,,,,,,,,,,,,,,
alchemy-sepolia-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",sepolia,,,,,,,,,,,,,,,,,,,,
alchemy-sepolia-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",sepolia,,,,,,,,,,,,,,,,,,,,
alchemy-hoodi-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/rpc/ethereum-hoodi)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",hoodi,,,,,,,,,,,,,,,,,,,,
alchemy-hoodi-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",hoodi,,,,,,,,,,,,,,,,,,,,
alchemy-hoodi-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/ethereum-api-quickstart)""]",hoodi,,,,,,,,,,,,,,,,,,,,
chain-love-mainnet-free,!provider:chain-love-free,"[""[Buy](/graph)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/ethereum)""]",mainnet,,,,,,,,,,,,,,,,,,,,
