slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
4everland-free,!provider:4everland-free,,,,,,,,
4everland-pay-as-you-go,!provider:4everland-pay-as-you-go,,,,,,,,
agent-kit,!provider:agent-kit,,,,,,,,
ape-worx-evm-trace,!provider:ape-worx-evm-trace,,,,,,,,
blockdaemon-sdk-enterprise,!provider:blockdaemon-sdk-enterprise,,,,,,,,
blockdaemon-sdk-free,!provider:blockdaemon-sdk-free,,,,,,,,
blockdaemon-sdk-pay-as-you-go,!provider:blockdaemon-sdk-pay-as-you-go,,,,,,,,
ceramic-sdk,!provider:ceramic-sdk,,,,,,,,
connectkit,!provider:connectkit,,,,,,,,
cookbook-dev,!provider:cookbook-dev,,,,,,,,
dapprovals-enterprise,!provider:dapprovals-enterprise,,,,,,,,
dapprovals-pay-as-you-go,!provider:dapprovals-pay-as-you-go,,,,,,,,
datacurve-enterprise,!provider:datacurve-enterprise,,,,,,,,
datacurve-pay-as-you-go,!provider:datacurve-pay-as-you-go,,,,,,,,
ethersplay,!provider:ethersplay,,,,,,,,
filecoin-signing-tools,Filecoin Signing Tools,"[""[Docs](https://docs.filecoin.io/reference/built-in-actors)""]",Signal Tool,"[""Tool""]",$0,,Free,Filecoin signing libraries and tools for interacting with Filecoin actors,FALSE
foundry,!provider:foundry,,,,,,,,
fvm-assemblyscript-sdk,FVM AssemblyScript SDK,"[""[GitHub](https://github.com/Zondax/fvm-as-sdk)""]",SDK,"[""SDK""]",$0,,Free,AssemblyScript SDK for Filecoin Virtual Machine smart contract development,FALSE
fvm-beryx-address-converter,FVM Beryx Address Converter,"[""[Website](https://beryx.io/address_converter)""]",Address Converter,"[""Tool""]",$0,,Free,Utility to convert Filecoin addresses,FALSE
fvm-go-graphsplit,FVM Go Graphsplit,"[""[GitHub](https://github.com/filedrive-team/go-graphsplit)""]",Data preparation,"[""Data preparation""]",$0,,Free,GraphSplit tool for preparing large datasets for Filecoin,FALSE
fvm-powergate-textile,FVM Powergate Textile,"[""[Docs](https://docs.textile.io/powergate/)"",""[GitHub](https://github.com/textileio/powergate)""]",SDK,"[""SDK""]",$0,,Free,Textile Powergate SDK for building on Filecoin,FALSE
fvm-tinygo-sdk,FVM Tinygo SDK,"[""[GitHub](https://github.com/ipfs-force-community/go-fvm-sdk)""]",FVM Go SDK,"[""SDK""]",$0,,Free,Go SDK for Filecoin Virtual Machine smart contract development,FALSE
ganache,!provider:ganache,,,,,,,,
intellij-solidity-plugin,!provider:intellij-solidity-plugin,,,,,,,,
ipfs,!provider:ipfs,,,,,,,,
magic,!provider:magic,,,,,,,,
mosaia-enterprise,!provider:mosaia-enterprise,,,,,,,,
mosaia-free,!provider:mosaia-free,,,,,,,,
mosaia-pay-as-you-go,!provider:mosaia-pay-as-you-go,,,,,,,,
multicall3,!provider:multicall3,,,,,,,,
orbit-db,!provider:orbit-db,,,,,,,,
pimlico,!provider:pimlico,,,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,,,
portal-free,!provider:portal-free,,,,,,,,
portal-pay-as-you-go,!provider:portal-pay-as-you-go,,,,,,,,
reown,!provider:reown,,,,,,,,
rubic-sdk,!provider:rubic-sdk,,,,,,,,
spheron-network,!provider:spheron-network,,,,,,,,
superchain-dev-console,!provider:superchain-dev-console,,,,,,,,
tableland,!provider:tableland,,,,,,,,
tableland-db,!provider:tableland-db,,,,,,,,
thread-db,!provider:thread-db,,,,,,,,
triangle,!provider:triangle,,,,,,,,
whal3s,!provider:whal3s,,,,,,,,
ziion-linux-distro,!provider:ziion-linux-distro,,,,,,,,
