slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
ankr-mainnet-enterprise,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=a58d6642-6a81-4b72-a3c8-f748831d3956)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",,,mainnet,,,,,,,,,,,"[""All read methods + MPoolPush"",""Advanced Ankr API""]",,,,,
ankr-mainnet-free,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/filecoin/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",,,mainnet,,,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
ankr-mainnet-pay-as-you-go,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",,,mainnet,,,,,,,,,,,"[""All read methods + MPoolPush"",""Advanced Ankr API""]",,,,,
chain-love-calibnet-free,!provider:chain-love-free,"[""[Send requests](https://calibration.filecoin.chain.love/rpc/v0)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,Recent-State,calibnet,,,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
chain-love-calibnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,Recent-State,calibnet,$0,$0.5/1M CUs,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
chain-love-dedicated-fevm-archive-mainnet,!provider:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,FEVM Archive,mainnet,$3.5K,,,,,,,,,,"[""All methods""]",,,,,
chain-love-dedicated-full-archive-calibnet,!provider:chain-love-dedicated ,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,,calibnet,$800,,,,,,,,,,"[""All methods""]",,,,,
chain-love-dedicated-full-archive-mainnet,!provider:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,,mainnet,$5K,,,,,,,,,,"[""All methods""]",,,,,
chain-love-dedicated-recent-state-calibnet,!provider:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,Recent-State,calibnet,$600,,,,,,,,,,"[""All methods""]",,,,,
chain-love-dedicated-recent-state-mainnet,!provider:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,Recent-State,mainnet,$1K,,,,,,,,,,"[""All methods""]",,,,,
chain-love-fevm-archive-mainnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,FEVM Archive,mainnet,$300,$1.5/1M CUs,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
chain-love-full-archive-mainnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,,mainnet,$500,$3/1M CUs,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
chain-love-mainnet-free,!provider:chain-love-free,"[""[Send requests](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,Recent-State,mainnet,,,,,,,,,,,,,,,,
chain-love-mainnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",,Recent-State,mainnet,$0,$1/1M CUs,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
chainup-cloud-calibnet-free,Chainup Cloud,"[""[Send requests](http://filecoin-calibration.chainup.net/rpc/v1)"",""[Docs](https://docs.chainupcloud.com/blockchain-api/filecoin/public-apis)""]",Free,Recent-State,calibnet,$0,$0,null,null,null,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,
chainup-cloud-mainnet-free,Chainup Cloud,"[""[Send requests](https://filecoin.chainup.net/rpc/v1)"",""[Docs](https://docs.chainupcloud.com/blockchain-api/filecoin/public-apis)""]",Free,Recent-State,calibnet,$0,$0,null,null,null,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,
drpc-calibnet-enterprise-recent-state,!provider:drpc-enterprise-recent-state,"[""[Contact](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin-mainnet-rpc)"",""[Docs](https://drpc.org/docs)""]",,,calibnet,,,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
drpc-calibnet-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin-mainnet-rpc)"",""[Docs](https://drpc.org/docs)""]",,,calibnet,,,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
drpc-mainnet-enterprise-recent-state,!provider:drpc-enterprise-recent-state,"[""[Contact](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin#filecoin)"",""[Docs](https://drpc.org/docs)""]",,,mainnet,,,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
drpc-mainnet-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin-mainnet-rpc)"",""[Docs](https://drpc.org/docs)""]",,,mainnet,,,,,,,,,,,"[""All read methods + MPoolPush""]",,,,,
lava-network-calibnet-free,Lava Network,"[""[Register](https://accounts.lavanet.xyz/register)"",""[Docs](https://docs.lavanet.xyz/about)""]",Free,Recent-State,calibnet,$0,$0,null,null,null,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,
lava-network-mainnet-free,Lava Network,"[""[Send requests](https://filecoin.lava.build/)"",""[Docs](https://docs.lavanet.xyz/about)""]",Free,Recent-State,mainnet,$0,$0,null,null,null,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,
nownodes-mainnet-enterprise,!provider:nownodes-enterprise-recent-state,"[""[Contact](https://nownodes.io/pricing)"",""[Docs](https://nownodes.gitbook.io/fil-filecoin/)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-mainnet-free,!provider:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/filecoin-fil)"",""[Docs](https://nownodes.gitbook.io/fil-filecoin/)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-mainnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.gitbook.io/fil-filecoin/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
