slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
dipdup-mainnet-free,!provider:dipdup-free,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/flare)""]",mainnet,,,,,,,,,,,,,,,,,,,,
dipdup-mainnet-enterprise,!provider:dipdup-enterprise,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/flare)""]",mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-free,!provider:envio-free,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go,!provider:envio-pay-as-you-go,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-dedicated,!provider:envio-dedicated,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",mainnet,,,,,,,,,,,,,,,,,,,,
envio-songbird-free,!provider:envio-free,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",Songbird,,,,,,,,,,,,,,,,,,,,
envio-songbird-pay-as-you-go,!provider:envio-pay-as-you-go,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",Songbird,,,,,,,,,,,,,,,,,,,,
envio-songbird-dedicated,!provider:envio-dedicated,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",Songbird,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free,!provider:goldsky-free,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-coston2-free,!provider:goldsky-free,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",Coston2,,,,,,,,,,,,,,,,,,,,
goldsky-coston2-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",Coston2,,,,,,,,,,,,,,,,,,,,
goldsky-coston2-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",Coston2,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-free,!provider:sqd-free,"[""[Website](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",mainnet,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-pay-as-you-go,!provider:sqd-pay-as-you-go,"[""[Buy](https://docs.sqd.ai/cloud/pricing/#pay-as-you-go-prices)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",mainnet,,,,,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go,!provider:subquery-pay-as-you-go,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#creating-a-flex-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free,!provider:thirdweb-free,"[""[Website](https://thirdweb.com/flare)"",""[Docs](https://portal.thirdweb.com/insight)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-enterprise,!provider:thirdweb-enterprise,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-coston2-free,!provider:thirdweb-free,"[""[Website](https://thirdweb.com/flare-testnet-coston2)"",""[Docs](https://portal.thirdweb.com/insight)""]",Coston2,,,,,,,,,,,,,,,,,,,,
thirdweb-coston2-pay-as-you-go,!provider:thirdweb-pay-as-you-go,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",Coston2,,,,,,,,,,,,,,,,,,,,
thirdweb-coston2-enterprise,!provider:thirdweb-enterprise,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",Coston2,,,,,,,,,,,,,,,,,,,,
