slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
public-mainnet,Public RPC,"[""[Docs](https://lens.xyz/docs/chain/overview)""]",Public,Recent-State,mainnet,$0,$0,null,null,null,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",
public-testnet,Public RPC,"[""[Docs](https://lens.xyz/docs/chain/overview)""]",Public,Recent-State,testnet,$0,$0,null,null,null,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",
alchemy-mainnet-free,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,mainnet,$49/$199,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-testnet-free,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,testnet,$49/$199,,,,,,,,,,,,,,,
alchemy-testnet-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,testnet,,,,,,,,,,,,,,,,
quicknode-mainnet-pay-as-you-go-recent-state,!provider:quicknode-pay-as-you-go-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",,,mainnet,$49/$299,,,,,,,,,,,,,,,
quicknode-mainnet-dedicated,!provider:quicknode-dedicated-recent-state,"[""[Buy](https://www.quicknode.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-testnet-pay-as-you-go-recent-state,!provider:quicknode-pay-as-you-go-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",,,testnet,$49/$299,,,,,,,,,,,,,,,
quicknode-testnet-dedicated,!provider:quicknode-dedicated-recent-state,"[""[Buy](https://www.quicknode.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",,,testnet,,,,,,,,,,,,,,,,
drpc-mainnet-free-recent-state,!provider:drpc-free-recent-state,"[""[Website](https://drpc.org/chainlist/lens-mainnet-rpc)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,mainnet,,,,,,,,,,,,,,,,
drpc-mainnet-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,mainnet,,,,,,,,,,,,,,,,
drpc-testnet-free-recent-state,!provider:drpc-free-recent-state,"[""[Website](https://drpc.org/chainlist/lens-mainnet-rpc)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,testnet,,,,,,,,,,,,,,,,
drpc-testnet-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,testnet,,,,,,,,,,,,,,,,
tenderly-mainnet-free,!provider:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,mainnet,,,,,,,,,,,,,,,,
tenderly-mainnet-pay-as-you-go,!provider:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,mainnet,,,,,,,,,,,,,,,,
tenderly-testnet-free,!provider:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,testnet,,,,,,,,,,,,,,,,
tenderly-testnet-pay-as-you-go,!provider:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,testnet,,,,,,,,,,,,,,,,
thirdweb-mainnet-free,!provider:thirdweb-free-recent-state,"[""[Website](https://thirdweb.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,mainnet,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go-recent-state,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,mainnet,,,,,,,,,,,,,,,,
thirdweb-testnet-free,!provider:thirdweb-free-recent-state,"[""[Website](https://thirdweb.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,testnet,,,,,,,,,,,,,,,,
thirdweb-testnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go-recent-state,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,testnet,,,,,,,,,,,,,,,,
