slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk
linea-native-mainnet,Linea,"[""[Bridge](https://bridge.linea.build/)"", ""[Docs](https://docs.linea.build/get-started/how-to/bridge)""]",mainnet,Cross-chain Messaging,,,FALSE,"[""Discord""]",,TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""Fast Bridging"",""Ethereum Security""]","[""ERC-20""]",Gas Fee,TRUE,Inherits Ethereum L1 security,"[""Audit by ConsenSys, 2023""]",Centralized,"[""TypeScript""]"
linea-native-sepolia,Linea,"[""[Bridge](https://bridge.linea.build/)"", ""[Docs](https://docs.linea.build/get-started/how-to/bridge)""]",sepolia,Cross-chain Messaging,,,FALSE,"[""Discord""]",,TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""Fast Bridging"",""Ethereum Security""]","[""ERC-20""]",Gas Fee,TRUE,Inherits Ethereum L1 security,"[""Audit by ConsenSys, 2023""]",Centralized,"[""TypeScript""]"
across-mainnet,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
rhino-mainnet,!provider:rhinofi,,mainnet,,,,,,,,,,,,,,,,,
lifi-mainnet,!provider:lifi,,mainnet,,,,,,,,,,,,,,,,,
debridge-mainnet,!provider:debridge,,mainnet,,,,,,,,,,,,,,,,,
hyperlane-mainnet,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
layerswap-mainnet,!provider:layerswap,,mainnet,,,,,,,,,,,,,,,,,
rango-mainnet,!provider:rango,,mainnet,,,,,,,,,,,,,,,,,
zkbridge-mainnet,!provider:zkbridge,,mainnet,,,,,,,,,,,,,,,,,
orbiter-mainnet,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
wormhole-mainnet,!provider:wormhole,,mainnet,,,,,,,,,,,,,,,,,
stargate-mainnet,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
