slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk
across-mainnet,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
debridge-mainnet,!provider:debridge,,mainnet,,,,,,,,,,,,,,,,,
hyperlane-mainnet,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
layerswap-mainnet,!provider:layerswap,,mainnet,,,,,,,,,,,,,,,,,
lifi-mainnet,!provider:lifi,,mainnet,,,,,,,,,,,,,,,,,
linea-native-mainnet,Linea,"[""[Bridge](https://linea.build/hub/bridge)"", ""[Docs](https://docs.linea.build/get-started/how-to/bridge)""]",mainnet,Cross-chain Messaging,,,FALSE,"[""Discord""]",,TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""Fast Bridging"",""Ethereum Security""]","[""ERC-20""]",Gas Fee,TRUE,Inherits Ethereum L1 security,"[""Audit by ConsenSys, 2023""]",Centralized,"[""TypeScript""]"
linea-native-sepolia,Linea,"[""[Bridge](https://linea.build/hub/bridge)"", ""[Docs](https://docs.linea.build/get-started/how-to/bridge)""]",sepolia,Cross-chain Messaging,,,FALSE,"[""Discord""]",,TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""Fast Bridging"",""Ethereum Security""]","[""ERC-20""]",Gas Fee,TRUE,Inherits Ethereum L1 security,"[""Audit by ConsenSys, 2023""]",Centralized,"[""TypeScript""]"
orbiter-mainnet,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
rango-mainnet,!provider:rango,,mainnet,,,,,,,,,,,,,,,,,
rhino-mainnet,!provider:rhinofi,,mainnet,,,,,,,,,,,,,,,,,
stargate-mainnet,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
wormhole-mainnet,!provider:wormhole,,mainnet,,,,,,,,,,,,,,,,,
zkbridge-mainnet,!provider:zkbridge,,mainnet,,,,,,,,,,,,,,,,,
