slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
alchemy-linea-free-archive,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/linea)"",""[Docs](https://www.alchemy.com/docs/reference/linea-chain-api-quickstart)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
alchemy-linea-pay-as-you-go-archive,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/linea-chain-api-quickstart)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
alchemy-linea-enterprise-archive,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/linea-chain-api-quickstart)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
ankr-linea-pay-as-you-go,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Website](https://www.ankr.com/rpc/linea/)""]",,,mainnet,,,,,,,,,,,,,,,,
ankr-linea-enterprise,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=a0ec1dbe-6073-47ee-8361-5e0c4f7b361b)"",""[Website](https://www.ankr.com/rpc/linea/)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-linea-pay-as-you-go-recent-state,!provider:quicknode-pay-as-you-go-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/linea)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-linea-enterprise,!provider:quicknode-enterprise-recent-state,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/linea)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-linea-free,!provider:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/linea)"",""[Docs](https://nownodes.gitbook.io/documentation-1/nodeapis)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-linea-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Website](https://nownodes.io/nodes/linea)""]",,,mainnet,,,,,,,,,,,,,,,,
thirdweb-linea-free,!provider:thirdweb-free-recent-state,"[""[Website](https://thirdweb.com/linea)""]",,,mainnet,,,,,,,,,,,,,,,,
