slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
blocknative-mainnet,Blocknative,"[""[Dashboard](https://www.blocknative.com/)""]",mainnet,"[""OP Stack Batch Transactions"",""Blob Data"",""Ethereum Mempool Transactions""]",TRUE,"[""Batch Decoding API"",""Blob Archive API"",""Mempool Archive"",""Ethernow explorer""]",$0/Custom,,Tiered,FALSE
blockworks-mainnet,!provider:blockworks,"[""[Dashboard](https://blockworks.com/analytics/optimism)""]",mainnet,,,,,,,
dappradar-mainnet,!provider:dappradar,"[""[Dashboard](https://dappradar.com/chain/optimism)""]",mainnet,,,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/op-mainnet)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/optimism)""]",mainnet,,,,,,,
glassnode-mainnet,!provider:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=OP)""]",mainnet,,,,,,,
growthepie-mainnet,!provider:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/optimism)""]",mainnet,,,,,,,
l2beat-mainnet,!provider:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/op-mainnet)""]",mainnet,,,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/optimism)""]",mainnet,,,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=optimism)""]",mainnet,,,,,,,
op-analytics-mainnet,OP Analytics,"[""[GitHub](https://github.com/ethereum-optimism/op-analytics)""]",mainnet,"[""Incentive Tracking"",""Helper Functions"",""Public Analysis""]",FALSE,"[""GitHub API""]",$0,,Free,FALSE
tenderly-mainnet,Tenderly,"[""[Dashboard](https://dashboard.tenderly.co/remy65/project/infrastructure)""]",mainnet,"[""Transaction Monitoring"",""Contract Events"",""Alerts"",""Simulation RPC"",""Web3 Actions"",""Wallet Monitoring""]",TRUE,"[""Alerts API"",""Web3 Actions API""]","$0/$45/$450/mo, Custom",,Tiered,FALSE
