slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,starred
across-mainnet,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
allbridge-core-mainnet,!provider:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,
celer-cbridge,!provider:celer,,mainnet,,,,,,,,,,,,,,,,,
ecoportal-mainnet,!provider:ecoportal,,mainnet,,,,,,,,,,,,,,,,,
hop-mainnet,!provider:hop,,mainnet,,,,,,,,,,,,,,,,,
hyperlane-mainnet,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
jumper-mainnet,!provider:jumper,,mainnet,,,,,,,,,,,,,,,,,
layerswap-mainnet,!provider:layerswap,,mainnet,,,,,,,,,,,,,,,,,
layerzero-mainnet,!provider:layerzero,,mainnet,,,,,,,,,,,,,,,,,
optimism-standart,Optimism,"[""[Bridge](https://app.optimism.io/bridge/deposit)"",""[Docs](https://docs.optimism.io/app-developers/guides/bridging/standard-bridge)""]",mainnet,Cross‑chain Messaging,"1-3 min (from ETH to OP Mainnet),7 days (OP Mainnet to ETH)",,TRUE,"[""Discord"",""Email""]","[""Ethereum"",""Optimism"",""Base"",""Unichain"",""Ink"",""World Chain"",""Mode Mainnet"",""Zora"",""Redstone"",""Fraxtal"",""Lisk"",""Arena Z""]","[""Bridge API"",""GraphQL""]","[""Blockscout"",""Optimism Explorer""]","[""Native token bridge with 7-day withdrawal delay, security via Ethereum fraud proofs""]","[""ETH"",""ERC‑20""]",Gas Fee on L1,TRUE,7-day L2 to L1 withdrawal challenge period required,,Decentralized,"[""TypeScript""]",FALSE
orbiter-mainnet,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
owlto-mainnet,!provider:owlto,,mainnet,,,,,,,,,,,,,,,,,
rhinofi-mainnet,!provider:rhinofi,,mainnet,,,,,,,,,,,,,,,,,
rubic-mainnet,!provider:rubic,,mainnet,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,!provider:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,
squid-mainnet,!provider:squid,,mainnet,,,,,,,,,,,,,,,,,
stargate-mainnet,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
superbridge-mainnet,!provider:superbridge,,mainnet,,,,,,,,,,,,,,,,,
symbiosis-mainnet,!provider:symbiosis,,mainnet,,,,,,,,,,,,,,,,,
synapse-mainnet,!provider:synapse,,mainnet,,,,,,,,,,,,,,,,,
utexo-mainnet,!provider:utexo,,mainnet,,,,,,,,,,,,,,,,,
altitude-optimism,!provider:altitude,,mainnet,,,,,,,,,,,,,,,,,
asterizm-optimism,!provider:asterizm,,mainnet,,,,,,,,,,,,,,,,,
axelar-optimism,!provider:axelar,,mainnet,,,,,,,,,,,,,,,,,
chainlink-bridge-optimism,!provider:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,
chainport-optimism,!provider:chainport,,mainnet,,,,,,,,,,,,,,,,,
chainspot-optimism,!provider:chainspot,,mainnet,,,,,,,,,,,,,,,,,
connext-optimism,!provider:connext,,mainnet,,,,,,,,,,,,,,,,,
crosscurve-optimism,!provider:crosscurve,,mainnet,,,,,,,,,,,,,,,,,
debridge-optimism,!provider:debridge,,mainnet,,,,,,,,,,,,,,,,,
defiway-bridge-optimism,!provider:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,
hashport-optimism,!provider:hashport,,mainnet,,,,,,,,,,,,,,,,,
interport-optimism,!provider:interport,,mainnet,,,,,,,,,,,,,,,,,
mayan-optimism,!provider:mayan,,mainnet,,,,,,,,,,,,,,,,,
meson-optimism,!provider:meson,,mainnet,,,,,,,,,,,,,,,,,
messina-optimism,!provider:messina,,mainnet,,,,,,,,,,,,,,,,,
okutrade-optimism,!provider:okutrade,,mainnet,,,,,,,,,,,,,,,,,
pheasant-optimism,!provider:pheasant,,mainnet,,,,,,,,,,,,,,,,,
routerprotocol-optimism,!provider:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,
safeswap-optimism,!provider:safeswap,,mainnet,,,,,,,,,,,,,,,,,
transporter-optimism,!provider:transporter,,mainnet,,,,,,,,,,,,,,,,,
umbria-optimism,!provider:umbria,,mainnet,,,,,,,,,,,,,,,,,
universalx-optimism,!provider:universalx,,mainnet,,,,,,,,,,,,,,,,,
valuerouter-optimism,!provider:valuerouter,,mainnet,,,,,,,,,,,,,,,,,
wanchain-optimism,!provider:wanchain,,mainnet,,,,,,,,,,,,,,,,,
wormhole-optimism,!provider:wormhole,,mainnet,,,,,,,,,,,,,,,,,
xyfinance-optimism,!provider:xyfinance,,mainnet,,,,,,,,,,,,,,,,,
zkbridge-optimism,!provider:zkbridge,,mainnet,,,,,,,,,,,,,,,,,
