slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred
alchemy-sepolia-faucet,!provider:alchemy-faucet,"[""[Faucet](https://www.alchemy.com/faucets/optimism-sepolia)""]",testnet,,,,,0.1 ETH,72h,,
chain-platform-sepolia-faucet,Chain Platform,"[""[Faucet](https://faucet.chainplatform.co/faucets/ethereum-sepolia/)""]",testnet,FALSE,TRUE,,$0,0.1 ETH,24h,,FALSE
ethereum-ecosystem-sepolia-faucet,Ethereum Ecosystem,"[""[Faucet](https://www.ethereum-ecosystem.com/faucets/optimism-sepolia)""]",testnet,FALSE,TRUE,,$0,0.5 ETH,24h,"[""Only ENS names are allowed to redeem""]",FALSE
ethglobal-testnet-faucet,ETHGlobal,"[""[Faucet](https://ethglobal.com/faucet/op-sepolia-11155420)""]",testnet,TRUE,FALSE,,$69/$99/$129,0.05 ETH,24h,"[""Available only on paid plans""]",FALSE
farcaster-frame-sepolia-faucet,LearnWeb3,"[""[Faucet](https://www.launchcaster.xyz/p/65b67aca2cccdd9d36e48a9c)""]",testnet,TRUE,FALSE,,$0,0.01 ETH,24h,"[""Need to have a Farcaster account""]",FALSE
infura-sepolia-faucet,!provider:infura-faucet,"[""[Faucet](https://docs.metamask.io/developer-tools/faucet/)""]",testnet,,,0.001 ETH,,up to 0.5 ETH,24h,"[""The address must have Ethereum Mainnet transaction history""]",
native-usdc-sepolia-faucet,Circle,"[""[Faucet](https://faucet.circle.com/)""]",testnet,FALSE,FALSE,,$0,10 USDC,1h,,FALSE
quicknode-sepolia-faucet,!provider:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/optimism/sepolia)""]",testnet,,,,,0.05 ETH,12h,,
superchain-faucet,Optimism,"[""[Faucet](https://console.optimism.io/faucet?utm_source=op-docs&utm_medium=docs)""]",testnet,TRUE,TRUE,,$0,0.05 ETH,24h,,FALSE
thirdweb-op-sepolia-faucet,Thirdweb,"[""[Faucet](https://thirdweb.com/op-sepolia-testnet)""]",testnet,TRUE,TRUE,,$5/$99/$499/$1499,0.01 ETH,24h,"[""Available only on paid plans""]",FALSE
