slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
api3-mainnet,!provider:api3,"[""[Docs](https://docs.api3.org/)""]",mainnet,,,,,,,,,,,
api3-testnet,!provider:api3,"[""[Docs](https://docs.api3.org/)""]",testnet,,,,,,,,,,,
chainlink-mainnet,!provider:chainlink,"[""[ETH/USD](https://data.chain.link/feeds/optimism/mainnet/eth-usd)"", ""[Docs](https://docs.chain.link/)""]",mainnet,,,,,,,,,,,
chainlink-testnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/)""]",testnet,,,,,,,,,,,
chronicle-mainnet,!provider:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#blockchain=OETH&contract=0x5E16CA75000fb2B9d7B1184Fa24fF5D938a345Ef&txn=0xb7c1a0728ac868bc4316c367ce8edcc25dbe36098dd0a7c3dad071d64462fb3a)""]",mainnet,,,,,,,,,,,
chronicle-testnet,!provider:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&contract=0x77833F676fe5FB32e55986770092f54707d72c21&blockchain=ARB-SEP&txn=0x16a97856d9e63af6caf2debdbaadcc1a0a45f61d7a81b72e430555295d1eb278)""]",testnet,,,,,,,,,,,
dia-mainnet,!provider:dia,"[""[Docs](https://www.diadata.org/optimism-price-oracles/)""]",mainnet,,,,,,,,,,,
dia-testnet,!provider:dia,"[""[Docs](https://www.diadata.org/optimism-price-oracles/)""]",testnet,,,,,,,,,,,
ora-mainnet,!provider:ora,"[""[Docs](https://docs.ora.io/doc/onchain-ai-oracle-oao/onchain-ai-oracle)""]",mainnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/price-feeds)""]",mainnet,,,,,,,,,,,
pyth-testnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/price-feeds)""]",testnet,,,,,,,,,,,
redstone-mainnet,!provider:redstone,"[""[Docs](https://docs.redstone.finance/)""]",mainnet,,,,,,,,,,,
supra-mainnet,!provider:supra,"[""[Docs](https://docs.supra.com/)""]",mainnet,,,,,,,,,,,
