slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
hyperlane-mainnet,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
arianee-mainnet,Arianee,"[""[Protocol](https://www.arianee.org)"",""[Docs](https://docs.arianee.org/)""]",mainnet,Tokenized Digital Product Passports,,,FALSE,"[""Discord"",""Email"",""Twitter""]",FALSE,"[""Tokenization API"",""Ownership Management""]","[""On-chain event tracking""]","[""Multi-EVM compatible"", ""dynamic NFTs"", ""product lifecycle tracking""]","[""ERC-721""]",Gas Fee,TRUE,"""Community governance ($ARIA20), Data integrity and ownership transparency""","[""Yes""]",Decentralized,"[""JavaScript SDK""]",
layerzero-mainnet,!provider:layerzero,"[""[Docs](https://docs.layerzero.network/v2/deployments/evm-chains/polygon-mainnet-oft-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,
connext-mainnet,!provider:connext,,mainnet,,,,,,,,,,,,,,,,,
wormhole-mainnet,!provider:wormhole,,mainnet,,,,,,,,,,,,,,,,,
axelar-mainnet,!provider:axelar,,mainnet,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,!provider:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,
debridge-mainnet,!provider:debridge,,mainnet,,,,,,,,,,,,,,,,,
holograph-mainnet,Holograph,"[""[Bridge](https://www.holograph.xyz/)"",""[Docs](https://docs.holograph.xyz/)""]",mainnet,Modular Cross-chain Messaging,,,FALSE,"[""Discord"",""Twitter"",""Email""]",FALSE,"[""Holograph SDK"",""Router API""]","[""Explorer"",""Analytics Dashboard""]","[""On-chain governance"", ""modular architecture""]","[""ERC-20"", ""ERC-721""]",Gas Fee,TRUE,"""Validator set, Modular design, on-chain governance""","[""Yes""]",Decentralized,"[""JavaScript SDK""]",
across-mainnet,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
mayan-mainnet,!provider:mayan,,mainnet,,,,,,,,,,,,,,,,,
orbiter-mainnet,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
meson-mainnet,!provider:meson,,mainnet,,,,,,,,,,,,,,,,,
squid-mainnet,!provider:squid,,mainnet,,,,,,,,,,,,,,,,,
lifi-mainnet,!provider:lifi,,mainnet,,,,,,,,,,,,,,,,,
hashport-mainnet,!provider:hashport,,mainnet,,,,,,,,,,,,,,,,,
altitude-mainnet,!provider:altitude,,mainnet,,,,,,,,,,,,,,,,,
stargate-mainnet,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
pheasant-mainnet,!provider:pheasant,,mainnet,,,,,,,,,,,,,,,,,
wanchain-mainnet,!provider:wanchain,,mainnet,,,,,,,,,,,,,,,,,
asterizm-mainnet,!provider:asterizm,,mainnet,,,,,,,,,,,,,,,,,
chainspot-mainnet,!provider:chainspot,,mainnet,,,,,,,,,,,,,,,,,
jumper-mainnet,!provider:jumper,,mainnet,,,,,,,,,,,,,,,,,
safeswap-mainnet,!provider:safeswap,,mainnet,,,,,,,,,,,,,,,,,
zkbridge-mainnet,!provider:zkbridge,,mainnet,,,,,,,,,,,,,,,,,
xyfinance-mainnet,!provider:xyfinance,,mainnet,,,,,,,,,,,,,,,,,
retro-mainnet,!provider:retro,,mainnet,,,,,,,,,,,,,,,,,
messina-mainnet,!provider:messina,,mainnet,,,,,,,,,,,,,,,,,
ecoportal-mainnet,!provider:ecoportal,,mainnet,,,,,,,,,,,,,,,,,
rango-mainnet,!provider:rango,,mainnet,,,,,,,,,,,,,,,,,
