slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
alchemy-mainnet-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/subgraphs)"",""[Docs](https://www.alchemy.com/docs/reference/subgraphs-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-amoy-free,!provider:alchemy-free,"[""[Website](https://www.alchemy.com/subgraphs)"",""[Docs](https://www.alchemy.com/docs/reference/subgraphs-quickstart)""]",amoy,,,,,,,,,,,,,,,,,,,,
alchemy-amoy-pay-as-you-go,!provider:alchemy-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-amoy-testnet)""]",amoy,,,,,,,,,,,,,,,,,,,,
alchemy-amoy-enterprise,!provider:alchemy-enterprise,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-amoy-testnet)""]",amoy,,,,,,,,,,,,,,,,,,,,
chain-love-mainnet-free,!provider:chain-love-free,"[""[Deploy](https://polygon.chain.love/graph)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/polygon)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-free,!provider:chainstack-free,"[""[Website](https://chainstack.com/build-better-with-polygon/)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started#getting-started-polygon)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pay-as-you-go,!provider:chainstack-pay-as-you-go,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started#getting-started-polygon)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-enterprise,!provider:chainstack-enterprise,"[""[Contact](https://console.chainstack.com/user/account/create?plan=enterprise)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started#getting-started-polygon)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-free,!provider:chainstack-free,"[""[Website](https://chainstack.com/build-better-with-polygon/)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started#getting-started-polygon)""]",amoy,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-pay-as-you-go,!provider:chainstack-pay-as-you-go,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started#getting-started-polygon)""]",amoy,,,,,,,,,,,,,,,,,,,,
