slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
chain-love-mainnet,!provider:chain-love-free,"[""[Deploy](https://somnia.chain.love/graph)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chain-love-testnet,!provider:chain-love-free,"[""[Deploy](https://somnia.chain.love/graph)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/)""]",testnet,,,,,,,,,,,,,,,,,,,,
dipdup-mainnet-free,!provider:dipdup-free,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]",mainnet,,,,,,,,,,,,,,,,,,,,
dipdup-mainnet-enterprise,!provider:dipdup-enterprise,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]",mainnet,,,,,,,,,,,,,,,,,,,,
dipdup-testnet-free,!provider:dipdup-free,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]",testnet,,,,,,,,,,,,,,,,,,,,
dipdup-testnet-enterprise,!provider:dipdup-enterprise,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-free,!provider:goldsky-free,"[""[Website](https://goldsky.com/chains/somnia)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",testnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-free,!provider:ormi-free,"[""[Website](https://ormilabs.com/chain-list/somnia)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-pay-as-you-go,!provider:ormi-pay-as-you-go,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-enterprise,!provider:ormi-enterprise,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-testnet-free,!provider:ormi-free,"[""[Website](https://ormilabs.com/chain-list/somnia)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",testnet,,,,,,,,,,,,,,,,,,,,
ormi-testnet-pay-as-you-go,!provider:ormi-pay-as-you-go,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",testnet,,,,,,,,,,,,,,,,,,,,
ormi-testnet-enterprise,!provider:ormi-enterprise,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]",testnet,,,,,,,,,,,,,,,,,,,,
