slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
1rpc-mainnet-enterprise-recent-state,!provider:1rpc-enterprise-recent-state,"[""[Contact](https://www.1rpc.io/#pricing)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
1rpc-mainnet-free-recent-state,!provider:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/ecosystem/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
1rpc-mainnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,!provider:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/ecosystem/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise-full-archive,!provider:alchemy-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-mainnet-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-mainnet-free-full-archive,!provider:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/sonic)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-mainnet-free-recent-state,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/sonic)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-full-archive,!provider:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-testnet-enterprise-full-archive,!provider:alchemy-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
alchemy-testnet-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
alchemy-testnet-free-full-archive,!provider:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/sonic)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
alchemy-testnet-free-recent-state,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/sonic)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go-full-archive,!provider:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/sonic-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise-full-archive,!provider:ankr-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=e36660a6-7068-4de2-98db-b8f5082e3eb2)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=e36660a6-7068-4de2-98db-b8f5082e3eb2)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-full-archive,!provider:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/sonic/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/sonic/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-full-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/)"",""[Docs](https://www.ankr.com/docs/rpc-service/service-plans/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/)"",""[Docs](https://www.ankr.com/docs/rpc-service/service-plans/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-testnet-enterprise-full-archive,!provider:ankr-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=e36660a6-7068-4de2-98db-b8f5082e3eb2)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=e36660a6-7068-4de2-98db-b8f5082e3eb2)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-free-full-archive,!provider:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/sonic/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/sonic/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#sonic)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-full-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/)"",""[Docs](https://www.ankr.com/docs/rpc-service/service-plans/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/)"",""[Docs](https://www.ankr.com/docs/rpc-service/service-plans/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-enterprise-recent-state,!provider:blockpi-enterprise-recent-state,"[""[Contact](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/fantom-and-sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,!provider:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/sonic/)"",""[Docs](https://docs.blockpi.io/build/api-reference/fantom-and-sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
