slug,provider,actionButtons,chain,txSpeedSla,throughputSla,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
allbridge-core,!provider:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,
crosscurve,!provider:crosscurve,,mainnet,,,,,,,,,,,,,,,,,
debridge,!provider:debridge,,mainnet,,,,,,,,,,,,,,,,,
hyperlane,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
interport,!provider:interport,,mainnet,,,,,,,,,,,,,,,,,
jumper,!provider:jumper,,mainnet,,,,,,,,,,,,,,,,,
layerswap,!provider:layerswap,,mainnet,,,,,,,,,,,,,,,,,
meson,!provider:meson,,mainnet,,,,,,,,,,,,,,,,,
okutrade,!provider:okutrade,,mainnet,,,,,,,,,,,,,,,,,
orbiter,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
rhinofi,!provider:rhinofi,,mainnet,,,,,,,,,,,,,,,,,
squid,!provider:squid,,mainnet,,,,,,,,,,,,,,,,,
stargate,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
symbiosis,!provider:symbiosis,,mainnet,,,,,,,,,,,,,,,,,
transporter,!provider:transporter,,mainnet,,,,,,,,,,,,,,,,,
wanchain,!provider:wanchain,,mainnet,,,,,,,,,,,,,,,,,
