slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
cookbook-dev,!provider:cookbook-dev,,,,,,,,
enso,!provider:enso,,,,,,,,
ethers-js,!provider:ethers-js,,,,,,,,
forge,!provider:forge,,,,,,,,
foundry,!provider:foundry,,,,,,,,
fuzzlib,!provider:fuzzlib,,,,,,,,
hardhat,!provider:hardhat,,,,,,,,
mimic,!provider:mimic,,,,,,,,
remix,!provider:remix,,,,,,,,
swing,!provider:swing,,,,,,,,
vialabs,!provider:vialabs,,,,,,,,
web3-js,!provider:web3-js,,,,,,,,
web3-py,!provider:web3-py,,,,,,,,
paintswap-vrf,Paintswap,"[""[Website](https://vrf.paintswap.io/)"",""[Docs](https://docs.paintswap.io/paintswap-dapp-suite/vrf)"",""[Implementation Guide](https://vrf.paintswap.io/documentation)""]",Tool,"[""VRF"",""Randomness"",""Oracle"",""Infrastructure"",""Sonic""]",Gas only,,Free,"A fast, scalable VRF providing fully verifiable on-chain randomness from request to fulfillment, without any additional fees.",FALSE
