slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
ankr-mainnet-enterprise,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=e52a264f-f65c-4461-abc8-74e31981ae78)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",,,,,,mainnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
ankr-mainnet-free,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/stellar/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",,,,,,mainnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
ankr-mainnet-pay-as-you-go,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/stellar/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",,,,,,mainnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
ankr-testnet-enterprise,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=e52a264f-f65c-4461-abc8-74e31981ae78)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",,,,,,testnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
ankr-testnet-free,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/stellar/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",,,,,,testnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
ankr-testnet-pay-as-you-go,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/stellar/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",,,,,,testnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
blockdaemon-mainnet-dedicated,!provider:blockdaemon-dedicated-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,,,,mainnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
blockdaemon-mainnet-free,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,,,,mainnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
blockdaemon-mainnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,,,,mainnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
blockdaemon-testnet-dedicated,!provider:blockdaemon-dedicated-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,,,,testnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
blockdaemon-testnet-free,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,,,,testnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
blockdaemon-testnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,,,,testnet,,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
goldsky-mainnet-enterprise-indexer,!provider:goldsky-enterprise-indexer,"[""[Contact](https://goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,!provider:goldsky-free-indexer,"[""[Website](https://goldsky.com/chains/stellar)"",""[Docs](https://docs.goldsky.com/chains/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,!provider:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
goldsky-testnet-enterprise-indexer,!provider:goldsky-enterprise-indexer,"[""[Contact](https://goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/stellar)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
goldsky-testnet-free-indexer,!provider:goldsky-free-indexer,"[""[Website](https://goldsky.com/chains/stellar)"",""[Docs](https://docs.goldsky.com/chains/stellar)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
goldsky-testnet-pay-as-you-go-indexer,!provider:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/stellar)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-enterprise-indexer,!provider:indexing-co-enterprise-indexer,"[""[Docs](https://docs.indexing.co/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free-indexer,!provider:indexing-co-free-indexer,"[""[Docs](https://docs.indexing.co/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go-indexer,!provider:indexing-co-pay-as-you-go-indexer,"[""[Docs](https://docs.indexing.co/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
mercury-mainnet-enterprise-indexer,Mercury,"[""[Buy](https://docs.mercurydata.app/genaral-info/pricing)""]","ZephyrVM, Rust Soroban SDK",Enterprise,Archive,Indexed Data,Soroban,mainnet,Custom,null,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",null
mercury-mainnet-free-indexer,Mercury,"[""[Docs](https://docs.mercurydata.app/)""]","ZephyrVM, Rust Soroban SDK",Free,Archive,Indexed Data,Soroban,mainnet,$0(14 days trial period),$0,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",null
mercury-mainnet-pay-as-you-go-indexer,Mercury,"[""[Buy](https://docs.mercurydata.app/genaral-info/pricing)""]","ZephyrVM, Rust Soroban SDK",Pay-as-you-go,Archive,Indexed Data,Soroban,mainnet,$79/mo,null,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",null
mercury-testnet-enterprise-indexer,Mercury,"[""[Buy](https://docs.mercurydata.app/genaral-info/pricing)""]","ZephyrVM, Rust Soroban SDK",Enterprise,Archive,Indexed Data,Soroban,testnet,Custom,null,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",null
mercury-testnet-free-indexer,Mercury,"[""[Docs](https://docs.mercurydata.app/)""]","ZephyrVM, Rust Soroban SDK",Free,Archive,Indexed Data,Soroban,testnet,$0(14 days trial period),$0,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",null
mercury-testnet-pay-as-you-go-indexer,Mercury,"[""[Buy](https://docs.mercurydata.app/genaral-info/pricing)""]","ZephyrVM, Rust Soroban SDK",Pay-as-you-go,Archive,Indexed Data,Soroban,testnet,$79/mo,null,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]",null
nownodes-mainnet-dedicated-recent-state,!provider:nownodes-dedicated-recent-state,"[""[Website](https://nownodes.io/nodes/stellar-xlm)"",""[Docs](https://nownodes.gitbook.io/xlm-stellar/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,!provider:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,!provider:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/stellar-xlm)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,!provider:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-business-recent-state,!provider:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-custom-recent-state,!provider:nownodes-custom-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/nodes/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
onfinality-mainnet-enterprise-full-archive,!provider:onfinality-enterprise-full-archive,"[""[Contact](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
onfinality-mainnet-developer-full-archive,!provider:onfinality-developer-full-archive,"[""[Website](https://onfinality.io/en/networks/stellar)"",""[Docs](https://onfinality.io/en/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
onfinality-mainnet-growth-full-archive,!provider:onfinality-growth-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
onfinality-mainnet-accelerate-full-archive,!provider:onfinality-accelerate-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/stellar)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
