slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
goldsky-mainnet-free,!provider:goldsky-free,"[""[Website](https://goldsky.com/chains/stellar)"",""[Docs](https://docs.goldsky.com/chains/stellar/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/stellar/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/stellar/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-free,!provider:goldsky-free,"[""[Website](https://goldsky.com/chains/stellar)"",""[Docs](https://docs.goldsky.com/chains/stellar/)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/stellar/)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/stellar/)""]",testnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free,!provider:indexing-co-free,"[""[Docs](https://docs.indexing.co/networks/stellar)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/stellar)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/stellar)""]",mainnet,,,,,,,,,,,,,,,,,,,,
mercury-mainnet-free,Mercury,"[""[Docs](https://docs.mercurydata.app/)""]",mainnet,null,"ZephyrVM, Rust Soroban SDK",Free,$0(14 days trial period),$0,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom Indexing"",""Real-time Data"",""Dashboards""]"
