slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
blockdaemon-mainnet-free,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,mainnet,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,
blockdaemon-mainnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,mainnet,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,
blockdaemon-mainnet-dedicated,!provider:blockdaemon-dedicated-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,mainnet,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,
blockdaemon-testnet-free,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,testnet,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,
blockdaemon-testnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,testnet,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,
blockdaemon-testnet-dedicated,!provider:blockdaemon-dedicated-recent-state,"[""[Buy](https://www.blockdaemon.com/protocols/stellar)"",""[Docs](https://docs.blockdaemon.com/docs/stellar)""]",,,testnet,,,,,,,,,,,"[""horizon"",""soroban-rpc""]",,,,,
quicknode-mainnet-pay-as-you-go-recent-state,!provider:quicknode-pay-as-you-go-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/stellar)""]",,,mainnet,,,,,,,,,,,"[""horizon""]",,,,,
quicknode-mainnet-enterprise,!provider:quicknode-enterprise-recent-state,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/stellar)""]",,,mainnet,,,,,,,,,,,"[""horizon""]",,,,,
quicknode-testnet-pay-as-you-go-recent-state,!provider:quicknode-pay-as-you-go-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/stellar)""]",,,testnet,,,,,,,,,,,"[""horizon""]",,,,,
quicknode-testnet-enterprise,!provider:quicknode-enterprise-recent-state,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/stellar)""]",,,testnet,,,,,,,,,,,"[""horizon""]",,,,,
