slug,provider,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
anyalt,!provider:anyalt,,,,,,,,,,,,,,,
rubic-sdk,!provider:rubic-sdk,,,,,,,,,,,,,,,
stellar-sdk-csharp,Stellar,"[""[Docs](https://github.com/Beans-BV/dotnet-stellar-sdk)""]",SDK,C#,"[""Horizon""]",".NET SDK for interacting with Horizon, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-flutter,Stellar,"[""[Docs](https://github.com/Soneso/stellar_flutter_sdk)""]",SDK,TBD,"[""Flutter"",""Horizon"",""Soroban""]","Open-source SDK for Flutter, supports Horizon and Soroban, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-go,Stellar,"[""[Docs](https://github.com/stellar/go)""]",SDK,Go,"[""Horizon"",""Soroban""]","Go SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-ios-mac,Stellar,"[""[Docs](https://github.com/Soneso/stellar-ios-mac-sdk)""]",SDK,TBD,"[""iOS"",""macOS"",""Horizon"",""Soroban""]","Open-source SDK for iOS/macOS, supports Horizon and Soroban, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-java,Stellar,"[""[Docs](https://github.com/lightsail-network/java-stellar-sdk)""]",SDK,Java,"[""Horizon"",""Soroban""]","Java SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-js,Stellar,"[""[Docs](https://github.com/stellar/js-stellar-sdk)""]",SDK,JavaScript,"[""Horizon"",""Soroban""]","JavaScript SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-py,Stellar,"[""[Docs](https://github.com/StellarCN/py-stellar-base)""]",SDK,Python,"[""Horizon"",""Soroban""]","Python SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-ruby,Stellar,"[""[Docs](https://github.com/astroband/ruby-stellar-sdk)""]",SDK,TBD,"[""Ruby"",""Horizon""]","Ruby SDK for building transactions and connecting to Horizon, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-rust,Stellar,"[""[Docs](https://github.com/stellar/rs-soroban-sdk)""]",SDK,Rust,"[""Soroban""]",Rust SDK for developing and deploying Soroban smart contracts,Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
tatum-sdk-enterprise,!provider:tatum-sdk-enterprise,,,,,,,,,,,,,,,
tatum-sdk-free,!provider:tatum-sdk-free,,,,,,,,,,,,,,,
tatum-sdk-pay-as-you-go,!provider:tatum-sdk-pay-as-you-go,,,,,,,,,,,,,,,
