slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
temple,Temple-Wallet,"[""[Website](https://templewallet.com/)""]",TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""discord""]","[""Least Authority""]","[""EN"",""RU"",""ZH"",""FR"",""TR"",""UK""]",TRUE
kukai,Kukai,"[""[Website](https://wallet.kukai.app/)""]",TRUE,"[""Web"",""iOS""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""email""]","[""Least Authority""]","[""EN""]",FALSE
umami,Umami,"[""[Website](https://umamiwallet.com/)""]",TRUE,"[""Desktop"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""discord""]","[""Include Security""]","[""EN""]",FALSE
airgap,AirGap,"[""[Website](https://airgap.it/)""]",TRUE,"[""iOS"",""Android"",""Desktop""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""discord""]","[""Dolden""]","[""EN"",""DE"",""ZH""]",FALSE
bitget-wallet,Bitget Wallet,"[""[Website](https://web3.bitget.com/)""]",FALSE,"[""iOS"",""Android"",""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""discord"",""email""]","[""Certik"",""SlowMist""]","[""EN"",""ZH"",""JA"",""KO"",""VI"",""DE"",""FR"",""TR""]",FALSE
trustwallet,!provider:trustwallet,,,,,,,,,,,,,,,,,,
safepal,!provider:safepal,,,,,,,,,,,,,,,,,,
ledger,!provider:ledger,,,,,,,,,,,,,,,,,,
exodus,!provider:exodus,,,,,,,,,,,,,,,,,,
atomic-wallet,!provider:atomic-wallet,,,,,,,,,,,,,,,,,,
zengo,!provider:zengo,,,,,,,,,,,,,,,,,,
tangem,!provider:tangem,,,,,,,,,,,,,,,,,,
