slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
1rpc-enterprise-recent-state,1rpc,"[""[Contact](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
1rpc-free-recent-state,1rpc,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""20K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
1rpc-pay-as-you-go-recent-state,1rpc,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,"$9.90/$29.90/mo, $8.33/$24.99/yearly",$0,NULL,NULL,NULL,99.90%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""40K/100K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
1rpc-public-recent-state,1rpc,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",,Public,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
alchemy-enterprise-full-archive,Alchemy,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,
alchemy-enterprise-indexer,Alchemy,,,Enterprise,Archive,Indexed Data,The Graph,Custom,Custom pricing & SLAs,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""REST API""]","[""Unlimited subgraph deployments"",""Custom limits""]","[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging & usage stats""]","[""Global""]","[""Unlimited throughput"",""Unlimited apps & webhooks"",""<2m response time VIP support"",""SLA""]",null
alchemy-enterprise-recent-state,Alchemy,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,
alchemy-free-full-archive,Alchemy,"[""[Website](https://www.alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",,Free,Archive,RPC,EVM JSON-RPC,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,
alchemy-free-indexer,Alchemy,,,Free,Archive,Indexed Data,The Graph,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""REST API""]","[""2 subgraph deployments"",""200K queries"",""throughput 5 queries/s"",""stored entities 100K""]","[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging & usage stats""]","[""Global""]","[""Discord support""]",null
alchemy-free-recent-state,Alchemy,"[""[Website](https://www.alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,
alchemy-pay-as-you-go-full-archive,Alchemy,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",,Pay-as-you-go,Archive,RPC,EVM JSON-RPC,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,
alchemy-pay-as-you-go-indexer,Alchemy,,,Tiered,Archive,Indexed Data,The Graph,$5/$45/$215/$415/$815/$2K,"$20/1M queries, $25/1M entities",NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL"",""REST API""]","[""30 subgraph deployments"",""throughput 30 queries/s""]","[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging & usage stats""]","[""Global""]","[""Priority support""]",null
alchemy-pay-as-you-go-recent-state,Alchemy,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,
