slug,provider,actionButtons,plan,nodeType,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
1rpc-public-recent-state,1rpc,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",Public,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
1rpc-free-recent-state,1rpc,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""20K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
1rpc-pay-as-you-go-recent-state,1rpc,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Pay-as-you-go,Recent-State,"$9.90/$29.90/mo, $8.33/$24.99/yearly",$0,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""40K/100K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
1rpc-enterprise-recent-state,1rpc,"[""[Contact](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",
alchemy-enterprise-recent-state,Alchemy,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",Enterprise,Recent-State,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",
alchemy-free-recent-state,Alchemy,"[""[Website](https://alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",Free,Recent-State,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",
alchemy-pay-as-you-go-recent-state,Alchemy,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",Pay-as-you-go,Recent-State,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",
alchemy-free-full-archive,Alchemy,"[""[Website](https://alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",Free,Full Archive,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",
alchemy-pay-as-you-go-full-archive,Alchemy,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",Pay-as-you-go,Full Archive,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",
alchemy-enterprise-full-archive,Alchemy,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",Enterprise,Full Archive,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",
